运单号,国内快递公司,国内快递单号,状态,最新节点,更新时间,收件人,货物,轨迹
TCKD2026000001,顺丰,SF1234567890123,打包待派送,马尼拉自营仓,2026-09-16 09:00,张伟,服装 3 箱,"2026-09-12 09:00 || 国内仓库签收
2026-09-13 18:00 || 国内发货
2026-09-14 08:20 || 已发出在途
2026-09-16 06:10 || 菲律宾到仓
2026-09-16 09:00 || 打包待派送"
,中通,ZTO9876543210,国内仓库签收,广州转运仓,2026-09-15 14:00,,,"2026-09-15 14:00 || 国内仓库签收"
,圆通,YT5566778899,已发出在途,发往马尼拉途中,2026-09-16 08:00,,,"2026-09-14 10:00 || 国内仓库签收
2026-09-15 19:00 || 国内发货
2026-09-16 08:00 || 已发出在途"
TCKD2026000004,韵达,YD1122334455,菲律宾到仓,马尼拉自营仓,2026-09-16 18:00,李娜,日用品 2 箱,"2026-09-13 10:00 || 国内仓库签收
2026-09-14 19:00 || 国内发货
2026-09-15 08:00 || 已发出在途
2026-09-16 18:00 || 菲律宾到仓"
